iter	Passed	Remaining
0	0	20
1	0	21
2	0	21
3	0	19
4	1	19
5	1	19
6	1	20
7	1	19
8	1	19
9	2	19
10	2	18
11	2	18
12	2	18
13	2	17
14	3	17
15	3	17
16	3	17
17	3	16
18	3	16
19	4	16
20	4	16
21	4	15
22	4	15
23	4	15
24	5	15
25	5	15
26	5	14
27	5	14
28	5	14
29	6	14
30	6	14
31	6	14
32	6	14
33	7	14
34	7	13
35	7	13
36	7	13
37	8	13
38	8	13
39	8	12
40	8	12
41	8	12
42	9	12
43	9	11
44	9	11
45	9	11
46	9	11
47	10	10
48	10	10
49	10	10
50	10	10
51	10	10
52	11	9
53	11	9
54	11	9
55	11	9
56	11	8
57	12	8
58	12	8
59	12	8
60	12	8
61	12	7
62	13	7
63	13	7
64	13	7
65	13	7
66	13	6
67	14	6
68	14	6
69	14	6
70	14	6
71	14	5
72	15	5
73	15	5
74	15	5
75	15	4
76	15	4
77	16	4
78	16	4
79	16	4
80	16	3
81	16	3
82	17	3
83	17	3
84	17	3
85	17	2
86	18	2
87	18	2
88	18	2
89	18	2
90	18	1
91	19	1
92	19	1
93	19	1
94	19	1
95	19	0
96	20	0
97	20	0
98	20	0
99	20	0
